epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1698.71,1.07113,1.69005,0.81266,0.41275,0.41705,0.34568,0.14515,1.98542,6.74593,1.4306,0.00025941,0.00025941,0.00025941
43,1741.36,1.0605,1.64072,0.80502,0.40935,0.45514,0.36926,0.1502,1.94701,6.92624,1.37962,0.00025842,0.00025842,0.00025842
44,1777.72,1.02984,1.54417,0.79638,0.40752,0.42369,0.36807,0.15543,1.96171,6.92085,1.38116,0.00025743,0.00025743,0.00025743
45,1817.23,1.02996,1.55759,0.79309,0.39037,0.40636,0.3379,0.14169,1.94691,7.22416,1.3811,0.00025644,0.00025644,0.00025644
46,1858.26,1.0286,1.53062,0.79467,0.42178,0.42622,0.37038,0.1549,1.95966,7.51384,1.39169,0.00025545,0.00025545,0.00025545
47,1899.41,1.00867,1.49055,0.78773,0.53408,0.37094,0.38795,0.16217,2.0055,7.41356,1.39843,0.00025446,0.00025446,0.00025446
48,1937.13,0.99064,1.48079,0.7718,0.47858,0.38134,0.37188,0.16657,1.95286,7.06608,1.38547,0.00025347,0.00025347,0.00025347
49,1973.74,1.02276,1.55226,0.78718,0.39886,0.4451,0.35617,0.14593,1.95875,7.1003,1.38388,0.00025248,0.00025248,0.00025248
50,2015.8,0.98946,1.49891,0.77621,0.39319,0.42583,0.36992,0.15388,1.94511,6.99654,1.38536,0.00025149,0.00025149,0.00025149
51,2056.76,0.96907,1.41387,0.75894,0.40336,0.42723,0.34938,0.14802,1.95841,7.00599,1.3797,0.0002505,0.0002505,0.0002505
52,2097.98,0.97627,1.44706,0.77162,0.44749,0.39027,0.36364,0.16203,1.90013,7.35773,1.36084,0.00024951,0.00024951,0.00024951
53,2134.97,0.98205,1.44508,0.77274,0.43314,0.40641,0.34961,0.14215,1.96614,7.61818,1.39323,0.00024852,0.00024852,0.00024852
54,2173.9,0.98619,1.46665,0.77133,0.40571,0.39112,0.34611,0.14929,1.97758,7.30419,1.43012,0.00024753,0.00024753,0.00024753
55,2210.09,0.95765,1.43454,0.75908,0.3874,0.3612,0.34995,0.14669,1.9211,7.83222,1.36492,0.00024654,0.00024654,0.00024654
56,2246.46,0.91668,1.38,0.74353,0.37168,0.39491,0.34359,0.14179,1.97364,7.6914,1.41645,0.00024555,0.00024555,0.00024555
57,2288.41,0.92508,1.34955,0.74666,0.41055,0.39135,0.34654,0.14934,1.96505,7.41291,1.45117,0.00024456,0.00024456,0.00024456
58,2326.83,0.93492,1.39613,0.74949,0.44449,0.41997,0.37241,0.15297,1.94358,7.19828,1.43757,0.00024357,0.00024357,0.00024357
59,2368.33,0.93033,1.38995,0.74764,0.44344,0.38737,0.37167,0.14794,2.03304,8.20933,1.45752,0.00024258,0.00024258,0.00024258
